"","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","NA_YOJ","NA_CAR_AGE","NA_HOME_VAL","NA_INCOME","NA_JOB"
"1",0,0,0,60,0,11,67349,FALSE,0,FALSE,"M","PhD","Professional",14,"Private",14230,11,"Minivan",TRUE,4461,2,FALSE,3,18,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"2",0,0,0,43,0,11,91449,FALSE,257252,FALSE,"M","z_High School","z_Blue Collar",22,"Commercial",14940,1,"Minivan",TRUE,0,0,FALSE,0,1,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"3",0,0,0,35,1,10,16039,FALSE,124191,TRUE,"z_F","z_High School","Clerical",5,"Private",4010,4,"z_SUV",FALSE,38690,2,FALSE,3,10,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"4",0,0,0,51,0,14,101095,FALSE,306251,TRUE,"M","<High School","z_Blue Collar",32,"Private",15440,7,"Minivan",TRUE,0,0,FALSE,0,6,"Highly Urban/ Urban",FALSE,FALSE,FALSE,TRUE,FALSE
"5",0,0,0,50,0,12,114986,FALSE,243925,TRUE,"z_F","PhD","Doctor",36,"Private",18000,1,"z_SUV",FALSE,19217,2,TRUE,3,17,"Highly Urban/ Urban",TRUE,FALSE,FALSE,FALSE,FALSE
"6",1,2946,0,34,1,12,125301,TRUE,0,FALSE,"z_F","Bachelors","z_Blue Collar",46,"Commercial",17430,1,"Sports Car",FALSE,0,0,FALSE,0,7,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"7",0,0,0,54,0,13,18755,FALSE,83752,TRUE,"z_F","<High School","z_Blue Collar",33,"Private",8780,1,"z_SUV",FALSE,0,0,FALSE,0,1,"Highly Urban/ Urban",TRUE,FALSE,TRUE,FALSE,FALSE
"8",1,4021,1,37,2,12,107961,FALSE,333680,TRUE,"M","Bachelors","z_Blue Collar",44,"Commercial",16970,1,"Van",TRUE,2374,1,TRUE,10,7,"Highly Urban/ Urban",TRUE,FALSE,FALSE,FALSE,FALSE
"9",1,2501,0,34,0,10,62978,FALSE,0,FALSE,"z_F","Bachelors","Clerical",34,"Private",11200,1,"z_SUV",FALSE,0,0,FALSE,0,1,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"10",0,0,0,50,0,7,106952,FALSE,0,FALSE,"M","Bachelors","Professional",48,"Commercial",18510,7,"Van",FALSE,0,0,FALSE,1,17,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,FALSE,FALSE
"11",1,6077,0,53,0,14,77100,FALSE,0,FALSE,"z_F","Masters","Lawyer",15,"Private",18300,1,"Sports Car",FALSE,0,0,FALSE,0,11,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"12",0,0,0,43,0,5,52642,FALSE,209970,TRUE,"z_F","Masters","Professional",36,"Private",22420,7,"Minivan",FALSE,0,0,FALSE,0,1,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,FALSE,FALSE
"13",0,0,0,55,0,11,59162,FALSE,180232,TRUE,"M","Bachelors","Manager",25,"Commercial",17600,7,"Van",TRUE,5028,2,TRUE,3,9,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"14",1,1267,0,53,0,11,130795,FALSE,0,FALSE,"M","PhD","Manager",64,"Commercial",28340,6,"Panel Truck",TRUE,0,0,FALSE,3,10,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,TRUE
"15",1,2920.16732,0,45,0,0,0,FALSE,106859,TRUE,"z_F","<High School","Home Maker",48,"Private",6000,1,"z_SUV",FALSE,0,0,FALSE,3,5,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"16",0,0,0,39,3,12,51884,TRUE,180951,FALSE,"z_F","Bachelors","Clerical",43,"Private",10590,6,"z_SUV",FALSE,0,0,FALSE,0,13,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,FALSE,FALSE
"17",0,0,0,42,0,11,59945,FALSE,192207,TRUE,"M","Masters","Lawyer",42,"Private",14190,6,"Minivan",FALSE,0,0,FALSE,0,16,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"18",0,0,0,34,3,13,34019,FALSE,91875,TRUE,"z_F","Masters","Lawyer",27,"Private",8300,7,"z_SUV",FALSE,0,0,FALSE,0,20,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"19",0,0,0,31,2,12,18903,FALSE,93797,TRUE,"z_F","<High School","Clerical",48,"Private",17330,4,"Minivan",FALSE,0,0,FALSE,0,7,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"20",1,6857,0,28,1,13,44077,FALSE,170598,TRUE,"z_F","z_High School","z_Blue Collar",29,"Commercial",8710,6,"z_SUV",FALSE,8935,2,FALSE,0,1,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"21",1,3627,0,43,0,13,37214,FALSE,145021,TRUE,"M","<High School","z_Blue Collar",52,"Commercial",26560,1,"Panel Truck",TRUE,0,0,FALSE,3,1,"Highly Urban/ Urban",FALSE,FALSE,TRUE,FALSE,FALSE
"22",0,0,0,48,0,14,96274,FALSE,282904,TRUE,"z_F","Masters","Lawyer",36,"Private",11130,6,"z_SUV",FALSE,8250,1,FALSE,5,14,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"23",0,0,0,47,0,11,46281,FALSE,0,FALSE,"z_F","<High School","z_Blue Collar",29,"Private",19700,10,"Minivan",FALSE,0,0,FALSE,1,5,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"24",0,0,2,44,2,0,0,FALSE,82344,TRUE,"z_F","z_High School","Home Maker",8,"Private",5900,6,"z_SUV",FALSE,3338,3,FALSE,0,11,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"25",0,0,0,33,1,13,79606,FALSE,225962,TRUE,"z_F","Bachelors","Professional",27,"Private",16830,9,"z_SUV",FALSE,0,0,FALSE,2,15,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,FALSE,FALSE
"26",1,4486,0,32,1,9,31275,FALSE,118160,TRUE,"z_F","z_High School","Clerical",26,"Private",10030,1,"z_SUV",FALSE,0,0,FALSE,0,1,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"27",0,0,1,44,2,17,45488,FALSE,219378,TRUE,"M","Bachelors","Manager",16,"Private",22090,17,"Minivan",FALSE,0,0,FALSE,0,12,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"28",0,0,0,35,0,8,72193,FALSE,0,FALSE,"z_F","Bachelors","Clerical",26,"Private",12220,6,"z_SUV",FALSE,0,0,FALSE,3,12,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"29",0,0,0,40,2,0,0,FALSE,98777,TRUE,"z_F","Masters","Home Maker",15,"Private",14130,6,"z_SUV",FALSE,38127,2,TRUE,4,12,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,TRUE,FALSE
"30",0,0,0,49,0,5,49244,FALSE,163444,TRUE,"M","Bachelors","Clerical",30,"Private",15880,1,"Minivan",FALSE,0,0,FALSE,1,1,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"31",0,0,0,52,0,8,51278,FALSE,230340,TRUE,"z_F","Bachelors","Professional",37,"Private",1500,4,"z_SUV",FALSE,0,0,FALSE,1,10,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"32",0,0,0,41,0,7,92842,FALSE,286113,FALSE,"M","Masters","Manager",12,"Commercial",25810,6,"Panel Truck",FALSE,1431,2,FALSE,5,15,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,TRUE
"33",0,0,0,39,0,10,35081,FALSE,202839,TRUE,"M","Bachelors","z_Blue Collar",38,"Commercial",16640,4,"Van",TRUE,0,0,FALSE,0,13,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"34",0,0,0,56,0,0,0,FALSE,63827,TRUE,"z_F","PhD","Home Maker",65,"Private",13220,1,"Minivan",FALSE,0,0,FALSE,0,12,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,FALSE,FALSE
"35",0,0,0,49,0,12,115044,FALSE,311980,FALSE,"z_F","PhD","Doctor",18,"Private",17900,1,"Minivan",FALSE,0,0,FALSE,0,14,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
"36",0,0,0,38,0,11,37754,FALSE,138823,TRUE,"z_F","z_High School","Clerical",47,"Private",12080,1,"z_SUV",FALSE,0,0,FALSE,2,9,"z_Highly Rural/ Rural",FALSE,FALSE,FALSE,FALSE,FALSE
"37",0,0,0,43,2,17,145353,FALSE,418785,TRUE,"z_F","Masters","Lawyer",38,"Commercial",29450,6,"Van",FALSE,0,0,FALSE,0,15,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,TRUE
"38",0,0,0,63,0,15,121398,FALSE,343410,TRUE,"z_F","PhD","Doctor",10,"Private",16270,1,"z_SUV",FALSE,0,0,FALSE,0,11,"Highly Urban/ Urban",FALSE,FALSE,FALSE,FALSE,FALSE
